score,0-24,25-30,31-36,37-43,44-100
100,7.8,8.1,8.5,9,9.6
98,7.85,8.15,8.55,9.05,9.65
96,7.9,8.2,8.6,9.1,9.7
94,7.95,8.25,8.65,9.15,9.75
92,8,8.3,8.7,9.2,9.8
90,8.05,8.35,8.75,9.25,9.85
88,8.1,8.4,8.8,9.3,9.9
86,8.15,8.45,8.85,9.35,9.95
84,8.2,8.5,8.9,9.4,10
82,8.25,8.55,8.95,9.45,1.05
80,8.3,8.6,9,9.5,10.1
78,8.35,8.65,9.05,9.55,10.15
76,8.4,8.7,9.1,9.6,10.2
74,8.45,8.75,9.15,9.65,10.25
72,8.5,8.8,9.2,9.7,10.3
70,8.55,8.85,9.25,9.75,10.35
68,8.6,8.9,9.3,9.8,10.4
66,8.65,8.95,9.35,9.85,10.45
64,8.7,9,9.4,9.9,10.5
62,8.75,9.05,9.45,9.95,10.55
60,8.8,9.1,9.5,10,10.6
58,8.85,9.15,9.55,1.05,10.65
56,8.9,9.2,9.6,10.1,10.7
54,8.95,9.25,9.65,10.15,10.75
52,9,9.3,9.7,10.2,10.8
50,9.05,9.35,9.75,10.25,10.85
48,9.1,9.4,9.8,10.3,10.9
46,9.15,9.45,9.85,10.35,10.95
44,9.2,9.5,9.9,10.4,11
42,9.25,9.55,9.95,10.45,11.05
40,9.3,9.6,10,10.5,11.1
38,9.35,9.65,1.05,10.55,11.15
36,9.4,9.7,10.1,10.6,11.2
34,9.45,9.75,10.15,10.65,11.25
32,9.5,9.8,10.2,10.7,11.3
30,9.55,9.85,10.25,10.75,11.35
28,9.6,9.9,10.3,10.8,11.4
26,9.65,9.95,10.35,10.85,11.45
24,9.7,10,10.4,10.9,11.5
22,9.75,1.05,10.45,10.95,11.55
20,9.8,10.1,10.5,11,11.6
18,9.85,10.15,10.55,11.05,11.65
16,9.9,10.2,10.6,11.1,11.7
14,9.95,10.25,10.65,11.15,11.75
12,10,10.3,10.7,11.2,11.8
10,1.05,10.35,10.75,11.25,11.85
8,10.1,10.4,10.8,11.3,11.9
6,10.15,10.45,10.85,11.35,11.95
4,10.2,10.5,10.9,11.4,12
2,10.25,10.55,10.95,11.45,12.05
1,10.3,10.6,11,11.5,12.1
