score,0-24,25-30,31-36,37-43,44-100
100,70,66,62,58,54
99,69,65,61,57,53
98,68,64,60,56,52
97,67,63,59,55,51
96,66,62,58,54,50
95,65,61,57,53,49
94,64,60,56,52,48
93,63,59,55,51,47
92,62,58,54,50,46
91,61,57,53,49,45
90,60,56,52,48,44
88,59,55,51,47,43
86,58,54,50,46,42
84,57,53,49,45,41
82,56,52,48,44,40
80,55,51,47,43,39
78,54,50,46,42,38
76,53,49,45,41,37
74,52,48,44,40,36
72,51,47,43,39,35
70,50,46,42,38,34
68,49,45,41,37,33
66,48,44,40,36,32
64,47,43,39,35,31
62,46,42,38,34,30
60,45,41,37,33,29
58,44,40,36,32,28
56,43,39,35,31,27
54,42,38,34,30,26
52,41,37,33,29,25
50,40,36,32,28,24
48,39,35,31,27,23
46,38,34,30,26,22
44,37,33,29,25,21
42,36,32,28,24,20
40,35,31,27,23,19
38,34,30,26,22,18
36,33,29,25,21,17
34,32,28,24,20,16
32,31,27,23,19,15
30,30,26,22,18,14
28,29,25,21,17,13
26,28,24,20,16,12
24,27,23,19,15,11
22,26,22,18,14,10
20,25,21,17,13,9
18,24,20,16,12,8
16,23,19,15,11,7
14,22,18,14,10,6
12,21,17,13,9,5
10,20,16,12,8,4
9,19,15,11,7,3
8,18,14,10,6,2
7,17,13,9,5,1
6,16,12,8,4,0
5,15,11,7,3,0
4,14,10,6,2,0
3,13,9,5,1,0
2,12,8,4,0,0
