score,0-24,25-30,31-36,37-43,44-100
100,34,33,32,31,30
99,33,32,31,30,29
96,32,31,30,29,28
93,31,30,29,28,27
90,30,29,28,27,26
87,29,28,27,26,25
84,28,27,26,25,24
81,27,26,25,24,23
78,26,25,24,23,22
75,25,24,23,22,21
72,24,23,22,21,20
69,23,22,21,20,19
66,22,21,20,19,18
63,21,20,19,18,17
60,20,19,18,17,16
57,19,18,17,16,15
54,18,17,16,15,14
51,17,16,15,14,13
48,16,15,14,13,12
45,15,14,13,12,11
42,14,13,12,11,10
39,13,12,11,10,9
36,12,11,10,9,8
33,11,10,9,8,7
30,10,9,8,7,6
27,9,8,7,6,5
24,8,7,6,5,4
21,7,6,5,4,3
18,6,5,4,3,2
15,5,4,3,2,1
12,4,3,2,1,0
9,3,2,1,0,0
6,2,1,0,0,0
3,1,0,0,0,0
