score,0-24,25-30,31-36,37-43,44-100
100,50,48,46,44,42
98,49,47,45,43,41
96,48,46,44,42,40
94,47,45,43,41,39
92,46,44,42,40,38
90,45,43,41,39,37
88,44,42,40,38,36
86,43,41,39,37,35
84,42,40,38,36,34
82,41,39,37,35,33
80,40,38,36,34,32
78,39,37,35,33,31
76,38,36,34,32,30
74,37,35,33,31,29
72,36,34,32,30,28
70,35,33,31,29,27
68,34,32,30,28,26
66,33,31,29,27,25
64,32,30,28,26,24
62,31,29,27,25,23
60,30,28,26,24,22
58,29,27,25,23,21
56,27,26,24,22,20
54,28,25,23,21,19
52,26,24,22,20,18
50,25,23,21,19,17
48,24,22,20,18,16
46,23,21,19,17,15
44,22,20,18,16,14
42,21,19,17,15,13
40,20,18,16,14,12
38,19,17,15,13,11
36,18,16,14,12,10
34,17,15,13,11,9
32,16,14,12,10,8
30,15,13,11,9,7
28,14,12,10,8,6
26,13,11,9,7,5
24,12,10,8,6,4
22,11,9,7,5,3
20,10,8,6,4,2
18,9,7,5,3,1
16,8,6,4,2,1
14,7,5,3,1,1
12,6,4,2,1,1
10,5,3,1,1,1
8,4,2,1,1,1
6,3,1,1,1,1
4,2,1,1,1,1
1,1,1,1,1,1
