score,0-24,25-30,31-36,37-43,44-100
100,13,14,15,16,17
98,13.1,14.1,15.1,16.1,17.1
96,13.2,14.2,15.2,16.2,17.2
94,13.3,14.3,15.3,16.3,17.3
92,13.4,14.4,15.4,16.4,17.4
90,13.5,14.5,15.5,16.5,17.5
88,14,15,16,17,18
86,14.1,15.1,16.1,17.1,18.1
84,14.2,15.2,16.2,17.2,18.2
82,14.3,15.3,16.3,17.3,18.3
80,14.4,15.4,16.4,17.4,18.4
78,14.5,15.5,16.5,17.5,18.5
76,15,16,17,18,19
74,15.1,16.1,17.1,18.1,19.1
72,15.2,16.2,17.2,18.2,19.2
70,15.3,16.3,17.3,18.3,19.3
68,15.4,16.4,17.4,18.4,19.4
66,15.5,16.5,17.5,18.5,19.5
64,16,17,18,19,20
62,16.1,17.1,18.1,19.1,20.1
60,16.2,17.2,18.2,19.2,20.2
58,16.3,17.3,18.3,19.3,20.3
56,16.4,17.4,18.4,19.4,20.4
54,16.5,17.5,18.5,19.5,20.5
52,17,18,19,20,21
50,17.1,18.1,19.1,20.1,21.1
48,17.2,18.2,19.2,20.2,21.2
46,17.3,18.3,19.3,20.3,21.3
44,17.4,18.4,19.4,20.4,21.4
42,17.5,18.5,19.5,20.5,21.5
40,18,19,20,21,22
38,18.1,19.1,20.1,21.1,22.1
36,18.2,19.2,20.2,21.2,22.2
34,18.3,19.3,20.3,21.3,22.3
32,18.4,19.4,20.4,21.4,22.4
30,18.5,19.5,20.5,21.5,22.5
28,19,20,21,22,23
26,19.1,20.1,21.1,22.1,23.1
24,19.2,20.2,21.2,22.2,23.2
22,19.3,20.3,21.3,22.3,23.3
20,19.4,20.4,21.4,22.4,23.4
18,19.5,20.5,21.5,22.5,23.5
16,20,21,22,23,24
14,20.1,21.1,22.1,23.1,24.1
12,20.2,21.2,22.2,23.2,24.2
10,20.3,21.3,22.3,23.3,24.3
